step,total_queue,avg_wait_time,co2_kg,amb_time,fire_time
213,3,0.62,0.0818,,
214,6,0.71,0.0869,,
215,6,0.62,0.0566,,
216,6,0.0,0.0414,,
217,5,0.04,0.0625,,
218,4,0.08,0.0513,,
219,4,0.12,0.062,,
220,4,0.17,0.0372,,
221,4,0.21,0.0353,,
222,3,0.26,0.0493,,
223,2,0.33,0.0491,,
224,0,0.0,0.0634,,
225,0,0.0,0.068,,
226,3,0.0,0.0755,,
227,4,0.0,0.0662,,
228,4,0.0,0.0571,,
229,4,0.0,0.0555,,
230,4,0.0,0.0681,,
231,4,0.0,0.0818,,
232,4,0.0,0.0769,,
233,4,0.0,0.0734,,
234,4,0.0,0.0707,,
235,5,0.04,0.0651,,
236,5,0.1,0.0565,,
237,5,0.14,0.0623,,
238,9,0.24,0.0588,,
239,9,0.11,0.0462,,
240,9,0.16,0.0398,,
241,9,0.0,0.0434,,
242,9,0.0,0.041,,
243,8,0.0,0.0452,,
244,7,0.0,0.0466,,
245,5,0.0,0.0509,,
246,4,0.0,0.0635,,
247,4,0.04,0.0958,,
248,3,0.04,0.0865,,
249,3,0.17,0.0781,,
250,6,0.21,0.0822,,
251,9,0.3,0.0743,,
252,8,0.39,0.053,,
253,9,0.0,0.082,,
254,10,0.0,0.0826,,
255,8,0.0,0.0833,,
256,8,0.0,0.0774,,
257,8,0.0,0.0769,,
258,9,0.0,0.0795,,
259,8,0.04,0.0951,,
260,6,0.12,0.0632,,
261,7,0.25,0.094,,
262,8,0.38,0.0601,,
263,8,0.52,0.0342,,
264,8,0.65,0.0457,,
265,7,0.69,0.0457,,
266,7,0.88,0.0358,,
267,6,1.04,0.0398,,
268,6,0.84,0.0409,,
269,5,0.56,0.0673,,
270,4,0.08,0.0691,,
271,3,0.0,0.0695,,
272,2,0.04,0.068,,
273,2,0.12,0.0861,,
274,6,0.19,0.1018,,
275,6,0.12,0.084,,
276,6,0.19,0.0961,,
277,6,0.0,0.0787,,
278,6,0.0,0.0936,,
279,5,0.0,0.0932,,
280,7,0.0,0.059,,
281,8,0.04,0.0483,,
282,8,0.0,0.0575,,
283,5,0.0,0.0675,,
284,4,0.0,0.0878,,
285,4,0.0,0.0695,,
286,8,0.0,0.0963,,
287,8,0.0,0.0762,,
288,8,0.0,0.0665,,
289,7,0.0,0.071,,
290,6,0.0,0.0734,,
291,5,0.0,0.085,,
292,4,0.0,0.066,,
293,4,0.0,0.0625,,
294,4,0.0,0.0791,,
295,4,0.08,0.0674,,
296,2,0.17,0.089,,
297,2,0.27,0.062,,
298,6,0.41,0.0948,,
299,6,0.33,0.0632,,
300,6,0.45,0.0504,,
301,5,0.48,0.0517,,
302,5,0.04,0.0821,,
303,4,0.0,0.0587,,
304,4,0.0,0.0416,,
305,4,0.04,0.0471,,
306,4,0.08,0.0578,,
307,2,0.0,0.0688,,
308,1,0.04,0.0863,,
309,1,0.13,0.0879,,
310,5,0.23,0.0739,,
311,7,0.14,0.0658,,
312,7,0.0,0.0366,,
313,8,0.0,0.0766,,
314,8,0.0,0.0623,,
315,8,0.0,0.0675,,
316,8,0.0,0.0649,,
317,8,0.04,0.068,,
318,8,0.07,0.0596,,
319,8,0.11,0.0571,,
320,4,0.15,0.0669,,
321,3,0.0,0.0741,,
322,4,0.0,0.0947,,
323,6,0.0,0.0724,,
324,7,0.0,0.0663,,
325,9,0.0,0.0645,,
326,9,0.07,0.0867,,
327,9,0.16,0.0521,,
328,9,0.12,0.0594,,
329,9,0.16,0.0569,,
330,8,0.21,0.049,,
331,7,0.25,0.0438,,
332,5,0.3,0.0532,,
333,5,0.35,0.0712,,
334,7,0.48,0.0542,,
335,7,0.61,0.0594,,
336,5,0.77,0.0592,,
337,5,0.77,0.0572,,
338,5,0.88,0.0501,,
339,5,1.08,0.036,,
340,5,1.0,0.0329,,
341,5,1.0,0.0391,,
342,4,1.13,0.039,,
