step,total_queue,avg_wait_time,co2_kg,amb_time,fire_time,reward,epsilon
134,23.0,0.38,0.093,,,0,0.9821566111698136
135,22.0,0.53,0.088,,,0,0.9816655328642288
136,19.0,0.46,0.1,,,0,0.9811747000977967
137,19.0,0.55,0.125,,,0,0.9806841127477479
138,20.0,0.71,0.122,,,0,0.9801937706913741
139,19.0,0.88,0.127,,,0,0.9797036738060285
140,21.0,1.08,0.119,,,0,0.9792138219691255
141,20.0,1.3,0.1,,,0,0.978724215058141
142,19.0,1.5,0.104,,,0,0.978724215058141
143,20.0,1.76,0.11,,,0,0.978724215058141
144,20.0,1.67,0.094,,,0,0.978724215058141
145,26.0,1.3,0.13,,,0,0.978724215058141
146,25.0,0.02,0.119,,,0,0.978724215058141
147,24.0,0.05,0.09,,,0,0.978724215058141
148,28.0,0.07,0.093,,,0,0.978724215058141
149,27.0,0.1,0.106,,,0,0.978724215058141
150,23.0,0.18,0.11,,,0,0.978724215058141
151,25.0,0.28,0.105,,,0,0.978724215058141
152,25.0,0.41,0.106,,,0,0.978724215058141
153,26.0,0.47,0.123,,,0,0.978724215058141
154,26.0,0.62,0.141,,,0,0.978724215058141
155,25.0,0.79,0.127,,,0,0.978724215058141
156,27.0,0.97,0.119,,,0,0.978724215058141
157,26.0,1.15,0.082,,,0,0.978724215058141
158,26.0,1.37,0.104,,,0,0.978724215058141
159,26.0,1.63,0.08,,,0,0.978724215058141
160,27.0,1.89,0.068,,,0,0.978724215058141
161,27.0,1.95,0.098,,,0,0.978724215058141
162,27.0,2.21,0.091,,,0,0.978724215058141
163,27.0,2.66,0.073,,,0,0.978724215058141
164,29.0,1.9,0.08,,,0,0.978234852950612
165,29.0,2.19,0.086,,,0,0.9777457355241367
166,23.0,2.53,0.064,,,0,0.9772568626563747
167,23.0,2.81,0.066,,,0,0.9767682342250465
168,25.0,3.53,0.067,,27,0,0.976279850107934
169,24.0,3.32,0.065,,,0,0.9757917101828801
170,24.0,3.63,0.095,,,0,0.9753038143277888
171,24.0,4.0,0.082,,,0,0.974816162420625
172,25.0,4.61,0.105,,,0,0.9743287543394147
173,24.0,5.0,0.078,,,0,0.973841589962245
174,23.0,5.39,0.07,,,0,0.973354669167264
175,23.0,5.78,0.076,,,0,0.9728679918326804
176,22.0,5.94,0.067,,,0,0.972381557836764
177,24.0,5.43,0.089,,,0,0.9718953670578457
178,24.0,5.93,0.081,,,0,0.9714094193743169
179,22.0,5.55,0.069,,,0,0.9714094193743169
180,24.0,5.78,0.062,,,0,0.9714094193743169
181,28.0,5.14,0.082,,,0,0.9714094193743169
182,29.0,5.41,0.083,,,0,0.9714094193743169
183,28.0,3.4,0.096,,,0,0.9709237146646298
184,33.0,2.81,0.108,,,0,0.9704382528072976
185,33.0,2.52,0.121,,,0,0.9699530336808939
186,33.0,2.83,0.121,,,0,0.9694680571640535
187,34.0,3.07,0.114,,,0,0.9689833231354715
188,37.0,3.29,0.11,,,0,0.9684988314739038
189,36.0,2.84,0.12,,,0,0.9680145820581669
190,36.0,2.58,0.105,,,0,0.9675305747671379
191,36.0,2.61,0.102,,,0,0.9670468094797544
192,35.0,1.91,0.098,,,0,0.9665632860750146
193,36.0,1.32,0.106,,,0,0.9660800044319772
194,34.0,1.57,0.099,,,0,0.9655969644297613
195,33.0,1.48,0.103,,,0,0.9651141659475465
196,35.0,1.68,0.097,,,0,0.9646316088645728
197,34.0,1.91,0.087,,,0,0.9641492930601405
198,33.0,2.0,0.107,,,0,0.9636672184136105
199,33.0,2.43,0.108,,,0,0.9631853848044037
200,35.0,2.84,0.121,,,0,0.9631853848044037
201,36.0,2.6,0.14,,,0,0.9631853848044037
202,36.0,2.98,0.132,,,0,0.9631853848044037
203,34.0,3.07,0.1,,,0,0.9631853848044037
204,36.0,1.8,0.089,,,0,0.9627037921120016
205,35.0,0.26,0.052,,,0,0.9622224402159457
206,32.0,0.32,0.067,,,0,0.9617413289958378
207,26.0,0.49,0.072,,,0,0.9612604583313399
208,26.0,0.74,0.081,,,0,0.9607798281021742
209,26.0,0.91,0.079,,,0,0.9602994381881231
210,22.0,1.16,0.097,,,0,0.9598192884690291
211,21.0,1.44,0.1,,,0,0.9593393788247946
212,23.0,1.7,0.117,,,0,0.9588597091353822
213,22.0,1.95,0.113,,,0,0.9583802792808146
214,20.0,2.23,0.112,,,0,0.9579010891411742
215,19.0,2.6,0.101,,,0,0.9574221385966036
216,20.0,2.9,0.114,,,0,0.9569434275273054
217,24.0,2.19,0.12,,,0,0.9564649558135419
