step,queue,avg_wait_time,co2_kg,ambulance_time,firetruck_time
212,26,12.81,0.0614,,
213,25,14.38,0.0544,,
214,25,14.5,0.0539,,
215,25,14.14,0.0522,,
216,30,9.0,0.0701,,
217,30,8.68,0.0745,,
218,29,8.47,0.0796,,
219,30,8.85,0.0835,,
220,31,9.25,0.0912,,
221,30,9.68,0.1043,,
222,30,10.36,0.107,,
223,33,10.85,0.131,,
224,35,10.3,0.1191,,
225,35,5.14,0.1039,,
226,35,2.86,0.0922,,
227,31,0.93,0.0824,,
228,32,0.6,0.0925,,
229,32,0.63,0.0906,,
230,28,0.77,0.0973,,
231,29,1.0,0.1288,,
232,30,1.15,0.1289,,
233,29,1.37,0.132,,
234,29,1.68,0.0972,,
235,27,1.95,0.0949,,
236,27,2.27,0.0923,,
237,26,2.59,0.0968,,
238,23,2.91,0.1062,,
239,24,3.29,0.0908,,
240,24,3.38,0.0877,,
241,24,3.77,0.0948,,
242,22,4.41,0.0778,,
243,22,4.9,0.0873,,
244,23,5.55,0.0841,,
245,22,6.11,0.0961,,
246,22,6.69,0.0833,,
247,22,7.34,0.0996,,
248,23,7.18,0.0936,,
249,23,8.29,0.0741,,
250,23,9.3,0.0576,,
251,23,9.82,0.076,,
252,28,8.53,0.075,,
253,27,9.18,0.0883,,
254,27,10.14,0.0896,24,
255,26,10.62,0.0953,,
256,31,10.28,0.1026,,
257,31,10.26,0.1106,,
258,29,9.33,0.1203,,
259,32,9.13,0.107,,
260,32,9.51,0.1038,,
261,31,9.9,0.1056,,
262,30,10.31,0.1003,,
263,31,10.77,0.0917,,
264,33,10.43,0.068,,
265,33,11.4,0.0871,,
266,32,11.88,0.0762,,
267,32,12.43,0.0687,,
268,32,12.97,0.07,,
269,32,13.55,0.0755,,
270,32,7.87,0.0745,,
271,32,3.55,0.0641,,
272,31,1.45,0.0727,,
273,31,1.15,0.0751,,
274,31,1.0,0.0664,,
275,28,1.23,0.0739,,
276,28,1.45,0.0913,,
277,26,1.79,0.0835,,
278,24,2.11,0.0959,,
279,25,2.39,0.0879,,
280,24,2.4,0.094,,
281,23,2.74,0.1026,,
282,21,3.05,0.0908,,
283,22,3.62,0.0999,,
284,20,4.05,0.0902,,
285,18,4.42,0.0916,,
286,18,4.92,0.0998,,
287,19,5.6,0.1051,,
288,24,4.8,0.1198,,
289,24,5.38,0.1188,,
290,23,6.03,0.1037,,
291,23,6.56,0.1023,,
292,26,7.35,0.0793,,
293,26,8.0,0.0728,,
294,26,8.44,0.0926,,
295,29,8.89,0.1152,,
296,31,8.62,0.1217,,
297,31,9.29,0.1044,,
298,30,9.74,0.0697,,
299,30,10.78,0.0677,,
300,29,11.6,0.0649,,
301,29,12.11,0.0598,,
302,29,12.63,0.061,,
303,30,12.29,0.0759,,
304,31,11.08,0.0673,,
305,30,11.61,0.0608,,
306,29,11.26,0.0556,,
307,28,11.3,0.0598,,
308,29,11.36,0.0696,,
309,29,11.78,0.0644,,
310,27,12.0,0.0758,,
311,28,12.57,0.092,,
312,30,11.88,0.1001,,
313,30,12.44,0.083,,
314,30,13.32,0.0943,,
315,30,7.45,0.0683,,
316,31,3.98,0.0925,,
317,27,1.97,0.0833,,
318,27,1.26,0.1006,,
319,28,1.08,0.093,,
320,27,1.0,0.0928,,
321,27,1.24,0.1142,,
322,27,1.41,0.0932,,
323,24,1.61,0.1081,,
324,29,1.54,0.1389,,
325,28,1.74,0.1288,,
326,26,1.91,0.1598,,
327,27,2.11,0.143,,
328,28,2.14,0.1566,,
329,27,2.42,0.1313,,
330,25,2.71,0.1145,,
331,26,2.96,0.132,,
332,26,3.41,0.1123,,
333,26,3.84,0.1037,,
334,25,3.98,0.0901,,
335,24,4.54,0.0768,,
336,26,4.48,0.1014,,
337,26,4.86,0.0945,,
338,25,5.29,0.0712,,
339,25,5.88,0.0655,,
340,25,6.44,0.0755,,
341,24,7.24,0.0761,,21
342,24,8.14,0.0742,,
343,24,8.69,0.0737,,
344,26,9.0,0.0776,,
345,26,9.56,0.0786,,
346,26,10.4,0.0792,,
347,26,11.67,0.0734,,
348,27,10.45,0.0853,,
349,25,10.64,0.0824,,
350,25,11.5,0.0827,,
351,26,12.06,0.0838,,
352,27,11.28,0.0798,,
353,26,12.2,0.0997,,
354,26,13.18,0.0829,,
355,26,13.79,0.0607,,
356,27,14.41,0.0733,,
357,27,15.03,0.0817,,
358,28,15.68,0.0798,,
359,28,16.32,0.0674,,
360,34,6.44,0.0681,,
361,34,3.32,0.0817,,
362,30,1.27,0.0812,,
363,31,0.74,0.0876,,
364,33,0.91,0.0852,,
365,29,1.1,0.0911,,
366,29,1.26,0.1169,,
367,32,1.45,0.1101,,
368,31,1.5,0.1411,,
369,30,1.67,0.1249,,
370,28,1.85,0.0997,,
371,27,2.06,0.1216,,
372,27,2.4,0.1088,,
373,24,2.7,0.0993,,
374,23,3.12,0.0981,,
375,23,3.54,0.1015,,
376,25,3.79,0.0887,,
377,25,4.14,0.0826,,
378,25,4.4,0.103,,
379,25,5.05,0.0899,,
380,23,5.47,0.1055,,
381,23,6.43,0.0992,,
382,23,7.34,0.0982,,
383,24,8.62,0.0999,,
384,26,8.43,0.0836,,
385,26,9.0,0.0886,,
386,26,9.57,0.067,,
387,25,10.14,0.0591,,
388,25,10.74,0.0619,,
389,25,12.03,0.0604,,
390,25,12.7,0.0665,,
391,26,14.23,0.0626,,
392,28,13.23,0.0728,,
393,27,12.5,0.0692,,
394,26,11.79,0.0561,,
395,27,11.97,0.0553,,
396,31,9.8,0.0623,,
397,30,10.25,0.0784,,
398,29,10.72,0.0914,,
399,30,11.22,0.0996,,
400,33,10.42,0.1013,,
401,33,10.89,0.1178,,
402,33,11.38,0.1222,,
403,35,11.87,0.1186,,
404,36,12.38,0.1399,,
405,36,5.89,0.1012,,
406,36,3.44,0.079,,
407,33,1.57,0.0826,,
408,35,0.88,0.1001,,
409,34,0.83,0.0796,,
410,33,0.98,0.087,,
411,32,1.19,0.1123,,
412,33,1.38,0.1059,,
413,29,1.6,0.1514,,
414,29,1.83,0.1517,,
415,27,2.15,0.1591,,
416,28,2.35,0.1718,,
417,28,2.67,0.1571,,
418,25,3.0,0.1104,,
419,25,3.4,0.1282,,
420,24,3.81,0.0881,,
