step,total_queue,avg_wait_time,co2_kg,amb_time,fire_time,reward,epsilon
145,17,1.94,0.081,,,0,0.9653987143215881
146,17,0.0,0.085,,,0,0.9653987143215881
147,18,0.0,0.076,,,0,0.9653987143215881
148,16,0.0,0.069,,,0,0.9653987143215881
149,17,0.0,0.085,,,0,0.9653987143215881
150,17,0.04,0.092,,,0,0.9653987143215881
151,15,0.11,0.096,,,0,0.9653987143215881
152,16,0.22,0.108,,,0,0.9653987143215881
153,18,0.29,0.118,,,0,0.9653987143215881
154,18,0.39,0.078,,,0,0.9653987143215881
155,18,0.48,0.082,,,0,0.9646263953501308
156,18,0.58,0.071,,,0,0.9638546942338507
157,18,0.71,0.05,,,0,0.9630836104784636
158,17,0.9,0.063,,,0,0.9623131435900808
159,17,1.1,0.043,,,0,0.9615432930752087
160,17,1.36,0.082,,,0,0.9607740584407485
161,17,1.5,0.067,,,0,0.9600054391939958
162,17,1.8,0.075,,,0,0.9592374348426406
163,17,2.37,0.069,,,0,0.9584700448947664
164,18,2.85,0.064,,,0,0.9577032688588506
165,18,3.4,0.051,,24,0,0.9569371062437635
166,18,4.17,0.044,,,0,0.9561715565587685
167,17,4.65,0.048,,,0,0.9554066193135214
168,16,5.13,0.054,,,0,0.9546422940180707
169,19,4.78,0.047,,,0,0.9538785801828562
170,18,5.12,0.05,,,0,0.9538785801828562
171,17,4.92,0.047,,,0,0.9538785801828562
172,17,5.04,0.044,,,0,0.9538785801828562
173,18,5.91,0.033,,,0,0.9538785801828562
174,18,1.61,0.034,,,0,0.9531154773187099
175,18,0.09,0.041,,,0,0.9523529849368549
176,15,0.13,0.054,,,0,0.9515911025489054
177,17,0.26,0.064,,,0,0.9508298296668662
178,17,0.44,0.051,,,0,0.9500691658031327
179,13,0.65,0.047,,,0,0.9493091104704902
180,13,0.85,0.058,,,0,0.9485496631821138
181,17,0.79,0.069,,,0,0.9477908234515681
182,14,1.03,0.078,,,0,0.9470325907928068
183,14,1.22,0.083,,,0,0.9462749647201725
184,16,1.41,0.082,,,0,0.9455179447483963
185,19,1.49,0.095,,,0,0.9447615303925976
186,19,1.79,0.1,,,0,0.9440057211682835
187,19,1.85,0.092,,,0,0.9432505165913488
188,19,2.06,0.079,,,0,0.9424959161780757
189,20,2.5,0.086,,,0,0.9417419194451332
190,20,2.73,0.079,,,0,0.940988525909577
191,19,2.55,0.059,,,0,0.940988525909577
192,20,2.96,0.062,,,0,0.940988525909577
193,21,2.97,0.059,,,0,0.940988525909577
194,21,2.55,0.066,,,0,0.940988525909577
195,19,0.0,0.051,,,0,0.9402357350888494
196,19,0.0,0.046,,,0,0.9394835465007783
197,19,0.04,0.057,,,0,0.9387319596635776
198,17,0.15,0.056,,,0,0.9379809740958467
199,16,0.3,0.074,,,0,0.93723058931657
200,17,0.54,0.074,,,0,0.9364808048451168
201,17,0.67,0.082,,,0,0.9357316202012407
202,16,0.9,0.095,,,0,0.9349830349050796
203,15,1.13,0.101,,,0,0.9342350484771555
204,14,1.37,0.062,,,0,0.9334876604383738
205,14,1.63,0.071,,,0,0.9327408703100231
206,14,1.97,0.069,,,0,0.931994677613775
207,13,2.32,0.073,,,0,0.931249081871684
208,13,2.64,0.074,,,0,0.9305040826061867
209,15,2.59,0.068,,,0,0.9297596793401017
210,15,2.97,0.06,,,0,0.9290158715966296
211,14,2.75,0.065,,,0,0.9290158715966296
212,13,2.64,0.05,,,0,0.9290158715966296
213,14,3.24,0.049,,,0,0.9290158715966296
214,14,3.52,0.052,,,0,0.9290158715966296
215,13,0.59,0.039,,,0,0.9282726588993523
216,14,0.0,0.043,,,0,0.9275300407722328
217,18,0.06,0.059,,,0,0.926788016739615
218,18,0.16,0.053,,,0,0.9260465863262233
219,17,0.23,0.062,,,0,0.9253057490571622
220,16,0.37,0.05,,,0,0.9245655044579165
221,19,0.48,0.072,,,0,0.9238258520543502
222,18,0.65,0.081,,,0,0.9230867913727067
223,18,0.83,0.081,,,0,0.9223483219396085
224,20,0.73,0.119,,,0,0.9216104432820568
225,22,0.74,0.131,,,0,0.920873154927431
226,22,0.85,0.143,,,0,0.9201364564034891
227,20,0.97,0.107,,,0,0.9194003472383663
228,19,1.15,0.095,,,0,0.9186648269605756
229,20,1.3,0.105,,,0,0.9179298950990071
230,18,1.45,0.096,,,0,0.917195551182928
231,17,1.22,0.096,,,0,0.917195551182928
232,17,1.39,0.097,,,0,0.917195551182928
233,19,1.44,0.106,,,0,0.917195551182928
234,19,1.56,0.118,,,0,0.917195551182928
235,19,0.06,0.074,,,0,0.9164617947419816
236,18,0.06,0.066,,,0,0.9164617947419816
237,18,0.14,0.055,,,0,0.9164617947419816
